ds,Dairy products and eggs
2021-10-01,147.12442016601562
2021-11-01,147.90353393554688
2021-12-01,147.76492309570312
2022-01-01,150.27035522460938
2022-02-01,144.88812255859375
2022-03-01,147.73104858398438
2022-04-01,145.71417236328125
2022-05-01,147.60589599609375
2022-06-01,150.7694549560547
2022-07-01,151.2867889404297
2022-08-01,148.57513427734375
2022-09-01,152.1021270751953
2022-10-01,147.89401245117188
2022-11-01,144.29660034179688
2022-12-01,149.02931213378906
2023-01-01,149.8385009765625
2023-02-01,151.8186492919922
2023-03-01,154.57717895507812
