ds,Food purchased from restaurants
2021-10-01,171.0449981689453
2021-11-01,171.53289794921875
2021-12-01,175.3867950439453
2022-01-01,176.94589233398438
2022-02-01,171.97671508789062
2022-03-01,174.45098876953125
2022-04-01,177.2923583984375
2022-05-01,174.2911376953125
2022-06-01,175.09823608398438
2022-07-01,177.3585205078125
2022-08-01,176.1937255859375
2022-09-01,178.86172485351562
2022-10-01,180.34735107421875
2022-11-01,178.9331512451172
2022-12-01,180.46356201171875
2023-01-01,178.77545166015625
2023-02-01,183.57644653320312
2023-03-01,180.15858459472656
