ds,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2021-10-01,156.51914857128043,140.44477198450605,149.12363677028856,165.70727063864013,155.5644304464894,141.41374386040036,175.0634493149649,139.2823016162537,150.4291298184275
2021-11-01,156.3902094582441,140.79316300752657,149.49336718782817,166.0368550714709,156.33470881669348,141.93260970207777,175.51679740374982,139.29760807742935,157.4280869067561
2021-12-01,156.9021555601885,140.7969299897432,149.25701594103992,166.32495839869787,156.6152194407052,142.34622005302182,175.41527737245028,138.4665856985572,160.46544629980394
2022-01-01,156.28447819322014,141.13505239366384,150.34582181811177,166.95201212669494,157.532614654008,143.12843700138993,175.85399362171208,140.1330039976304,164.85664869768115
2022-02-01,156.8752301972313,141.74048752269596,150.76195124187717,167.31880068437974,157.91591951434066,142.6889426191294,176.09413468904197,140.52159117037985,166.20541166139677
2022-03-01,156.72612801983007,141.83239023831516,151.03395338701355,167.53871313163182,157.97176293437755,142.190207572986,176.489608630173,140.81035838762787,165.5697900910792
2022-04-01,157.08156018131214,141.7736906836226,151.03440316410976,167.87500136698208,158.12694184806006,142.4106065705312,176.87790508172898,140.7622429572608,165.21239745882542
2022-05-01,156.9104486201377,141.9690454778336,152.0709128500536,168.2034259671778,158.57801505482314,144.9964548820077,177.5466384427763,140.54736926573096,165.87051597132702
2022-06-01,156.9280762439171,141.82885621362402,152.30321780157337,168.54028152777465,159.10979876997854,146.24586106077882,178.51648758128403,140.48757179560758,168.7917841556207
2022-07-01,157.0536381671912,141.7958722097726,152.75891669989588,169.0085994195314,159.36809703095508,147.5024648507816,179.1318155471688,140.54736983434876,167.7792661008379
2022-08-01,157.0803600405582,141.92665411066477,153.18187741681874,169.3870827090244,159.00062588218694,147.02966215003835,179.3417742029171,140.86546566284252,160.11998384465866
2022-09-01,156.18160183743436,141.96689493231096,153.01130398137622,169.60820254753384,158.42808731647344,144.35662095353095,179.66943078461645,140.85073421160865,154.9052491363877
2022-10-01,156.91582629116405,141.44335255113992,152.86167706886158,170.00677600052623,158.38142151196445,143.47794788826567,179.1206331950058,140.51617813308482,155.47691567775172
2022-11-01,157.04384674653951,141.7438326956061,153.10845970327546,170.3623583708024,159.13885309510945,144.0230135276414,179.55186058535534,140.34401058870927,162.3980110928209
2022-12-01,157.53670253947578,141.73726028711386,152.9218441877963,170.62411365930686,159.45856023135988,144.51604701186812,179.29518076111393,139.62566490909254,165.70051322658477
2023-01-01,157.00905412225157,142.03120943109352,154.05582804780977,171.21364297348467,160.4428566365402,145.5489602828196,179.88383276855248,141.36588914154046,170.4099772996974
2023-02-01,157.4929915758003,142.68080390246885,154.39096275343192,171.49725065902877,160.62259477474768,144.7891198390885,180.11635250494487,141.62671970663934,170.08097938959637
2023-03-01,157.1833527653021,142.88802720145256,154.8051225637916,171.9066262032373,160.85022102254874,144.62757135645532,180.39312108852135,142.1032178897971,170.9394614322988
