,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-31,156.39210542041698,153.40238486067756,157.2879806543277,156.39210542041698,156.39210542041698,-1.037736283122812,-1.037736283122812,-1.037736283122812,-1.037736283122812,-1.037736283122812,-1.037736283122812,0.0,0.0,0.0,155.35436913729416
1,2021-09-30,156.4391506430344,153.7032951703425,157.6752512025846,156.4391506430344,156.4391506430344,-0.8103691555700993,-0.8103691555700993,-0.8103691555700993,-0.8103691555700993,-0.8103691555700993,-0.8103691555700993,0.0,0.0,0.0,155.6287814874643
2,2021-10-31,156.4877640397391,154.65047892414233,158.46910396915328,156.4877640397391,156.4877640397391,0.04607397714339062,0.04607397714339062,0.04607397714339062,0.04607397714339062,0.04607397714339062,0.04607397714339062,0.0,0.0,0.0,156.53383801688247
3,2021-11-30,156.5348092623565,154.9588991644554,158.88479071271354,156.5302779043456,156.5408077674148,0.430711052104425,0.430711052104425,0.430711052104425,0.430711052104425,0.430711052104425,0.430711052104425,0.0,0.0,0.0,156.96552031446092
4,2021-12-31,156.5834226590612,154.66047816963737,158.58360596146025,156.55080790367248,156.6148609220815,0.12219726552749728,0.12219726552749728,0.12219726552749728,0.12219726552749728,0.12219726552749728,0.12219726552749728,0.0,0.0,0.0,156.7056199245887
5,2022-01-31,156.63203605576587,154.8557092255791,158.94446120261125,156.55734060307648,156.7006498301561,0.2168117522303943,0.2168117522303943,0.2168117522303943,0.2168117522303943,0.2168117522303943,0.2168117522303943,0.0,0.0,0.0,156.84884780799626
6,2022-02-28,156.6759449302088,154.07184007193078,158.15282644466686,156.56289541218047,156.7951009657005,-0.5884384065091206,-0.5884384065091206,-0.5884384065091206,-0.5884384065091206,-0.5884384065091206,-0.5884384065091206,0.0,0.0,0.0,156.0875065236997
7,2022-03-31,156.7245583269135,154.77465348737235,158.8347444031038,156.5636273169545,156.9000855119396,0.03838467259195963,0.03838467259195963,0.03838467259195963,0.03838467259195963,0.03838467259195963,0.03838467259195963,0.0,0.0,0.0,156.76294299950544
8,2022-04-30,156.7716035495309,154.69073174051806,158.6565508423422,156.52905422434114,156.99939252332257,-0.026994121735771304,-0.026994121735771304,-0.026994121735771304,-0.026994121735771304,-0.026994121735771304,-0.026994121735771304,0.0,0.0,0.0,156.74460942779513
9,2022-05-31,156.8202169462356,155.13209627346043,159.3026673566543,156.50969231727464,157.11591781304,0.4194459679934373,0.4194459679934373,0.4194459679934373,0.4194459679934373,0.4194459679934373,0.4194459679934373,0.0,0.0,0.0,157.23966291422903
10,2022-06-30,156.86726216885305,155.35320190007806,159.32236802185028,156.49324752396475,157.24065469218883,0.4495247291779279,0.4495247291779279,0.4495247291779279,0.4495247291779279,0.4495247291779279,0.4495247291779279,0.0,0.0,0.0,157.31678689803098
11,2022-07-31,156.9158755655577,154.73640404397187,158.89416304540396,156.460469280104,157.38971884393214,-0.04205235427967909,-0.04205235427967909,-0.04205235427967909,-0.04205235427967909,-0.04205235427967909,-0.04205235427967909,0.0,0.0,0.0,156.87382321127802
12,2022-08-31,156.9644889622624,153.62561593499257,158.05949872353327,156.4517605686109,157.51879144835485,-1.066309088741366,-1.066309088741366,-1.066309088741366,-1.066309088741366,-1.066309088741366,-1.066309088741366,0.0,0.0,0.0,155.89817987352103
13,2022-09-30,157.01153418487982,153.84680942519483,158.41699826979357,156.41942988870588,157.64106381635222,-1.001020769838676,-1.001020769838676,-1.001020769838676,-1.001020769838676,-1.001020769838676,-1.001020769838676,0.0,0.0,0.0,156.01051341504115
14,2022-10-31,157.06014758158452,155.11885340196042,159.32078688933296,156.32558753136013,157.78485212783949,0.11833859164733843,0.11833859164733843,0.11833859164733843,0.11833859164733843,0.11833859164733843,0.11833859164733843,0.0,0.0,0.0,157.17848617323185
15,2022-11-30,157.10719280420193,155.40380331803036,159.85393315986863,156.30522306295114,157.9684666862254,0.47699582510823446,0.47699582510823446,0.47699582510823446,0.47699582510823446,0.47699582510823446,0.47699582510823446,0.0,0.0,0.0,157.58418862931018
16,2022-12-31,157.15580620090662,155.17252028728132,159.5990272374646,156.28325657443654,158.13520919643258,0.252849202864809,0.252849202864809,0.252849202864809,0.252849202864809,0.252849202864809,0.252849202864809,0.0,0.0,0.0,157.40865540377143
17,2023-01-31,157.2044195976113,155.12283931862805,159.85041829319172,156.24836328204555,158.28604762105442,0.2282507759434902,0.2282507759434902,0.2282507759434902,0.2282507759434902,0.2282507759434902,0.2282507759434902,0.0,0.0,0.0,157.43267037355477
